date,ea_esi,ea_gdp,ea_ip,ea_prodpr,eurostoxx,ipr,pr,sr,su,y,sr1,su1,y1
1999-10-01,111.2,1658005.3,96.89,78.46,120.6,1.675638935,0.166666667,9.018238757,4.287245691,1.157947345,1.646880771,1.576822264,1.073112774
2000-01-01,115.1666667,1679093.2,97.57,79.61,146.2,0.699375472,0.266666667,19.2496263,3.504997301,1.263863246,9.018238757,4.287245691,1.157947345
2000-04-01,117.1,1693642.5,99.54,80.51,146.8,1.998950431,0.2,0.409556886,1.664791577,0.862764921,19.2496263,3.504997301,1.263863246
2000-07-01,116.3333333,1701293.5,100.45,81.68,146.7,0.910051783,0.233333333,-0.068143103,-0.656863736,0.450730909,0.409556886,1.664791577,0.862764921
2000-10-01,113.8666667,1712369.5,101.6,82.66,137.6,1.138344388,0.2,-6.403875965,-2.143145971,0.648923978,-0.068143103,-0.656863736,0.450730909
2001-01-01,111.0333333,1727792.2,101.32,82.96,126.8,-0.275971001,0.166666667,-8.17398835,-2.519771731,0.896632465,-6.403875965,-2.143145971,0.648923978
2001-04-01,106.4333333,1729067.8,100.5,83.42,122.9,-0.812609763,0.4,-3.124002543,-4.231164549,0.073801083,-8.17398835,-2.519771731,0.896632465
2001-07-01,100.9,1730890,99.98,83.11,106.3,-0.518756151,-1.85E-17,-14.51057312,-5.338888338,0.105330774,-3.124002543,-4.231164549,0.073801083
2001-10-01,92.5,1733782.9,98.31,82.27,101.8,-1.684441461,0.166666667,-4.325518123,-8.692128284,0.166994158,-14.51057312,-5.338888338,0.105330774
2002-01-01,96.73333333,1736129.5,98.85,82.48,104.7,0.547779824,0.266666667,2.808901376,4.474940723,0.135254156,-4.325518123,-8.692128284,0.166994158
2002-04-01,99.1,1745836.1,99.69,82.82,99.7,0.846182142,0.233333333,-4.893344091,2.417138959,0.557537107,2.808901376,4.474940723,0.135254156
2002-07-01,96.43333333,1750826.5,99.76,82.96,77.7,0.070193034,0.066666667,-24.93104196,-2.727751806,0.285438085,-4.893344091,2.417138959,0.557537107
2002-10-01,94.3,1751744.5,99.43,83.2,72.3,-0.331342238,0.2,-7.203112821,-2.237073364,0.052418639,-24.93104196,-2.727751806,0.285438085
2003-01-01,92.86666667,1750422.8,99.9,84.39,65.7,0.471580666,0.333333333,-9.572520367,-1.531641693,-0.075478979,-7.203112821,-2.237073364,0.052418639
2003-04-01,93.3,1751938.1,98.93,83.94,69.6,-0.975715632,0.066666667,5.766564185,0.465533514,0.086530208,-9.572520367,-1.531641693,-0.075478979
2003-07-01,95.8,1759872,99.07,83.99,75.5,0.141414165,0.166666667,8.136808891,2.644257712,0.451841829,5.766564185,0.465533514,0.086530208
2003-10-01,99.06666667,1772662.4,100.7,84.1,79.4,1.631912874,0.166666667,5.0365712,3.353033923,0.72415181,8.136808891,2.644257712,0.451841829
2004-01-01,99.4,1781587.4,101.1,84.48,85.7,0.39643263,0.233333333,7.635445735,0.335908945,0.502216741,5.0365712,3.353033923,0.72415181
2004-04-01,101.3,1791201.5,102.01,85.69,85,0.896072167,0.3,-0.820156911,1.893429759,0.538185909,7.635445735,0.335908945,0.502216741
2004-07-01,101.8333333,1797729.7,101.94,86.59,83.1,-0.068644278,0.033333333,-2.260655463,0.525107836,0.363796731,-0.820156911,1.893429759,0.538185909
2004-10-01,102.3666667,1803699.3,102,87.34,88.2,0.058840837,0.2,5.956226115,0.522364949,0.331513156,-2.260655463,0.525107836,0.363796731
2005-01-01,99.93333333,1807630.6,102.14,88.08,94,0.137160794,0.166666667,6.368781926,-2.405784214,0.217720433,5.956226115,0.522364949,0.331513156
2005-04-01,98.46666667,1820244.8,102.68,89.04,95.4,0.527293478,0.266666667,1.478379618,-1.47852155,0.69540706,6.368781926,-2.405784214,0.217720433
2005-07-01,99.83333333,1831935.6,103.43,90.19,103.3,0.727769939,0.2,7.955879767,1.378404739,0.640211526,1.478379618,-1.47852155,0.69540706
2005-10-01,102.3333333,1843876.3,104.7,91.01,107.3,1.220406249,0.1,3.799127351,2.473332974,0.649692766,7.955879767,1.378404739,0.640211526
2006-01-01,104.2,1860591.7,105.65,92.86,118.3,0.903262619,0.133333333,9.759512135,1.807667073,0.902451496,3.799127351,2.473332974,0.649692766
2006-04-01,107.7333333,1881392,107.4,94.26,118.7,1.642843801,0.366666667,0.337553063,3.334690835,1.111737298,9.759512135,1.807667073,0.902451496
2006-07-01,108.8666667,1893400.9,108.18,95.05,119.3,0.723632437,0,0.504202749,1.046485451,0.636270165,0.337553063,3.334690835,1.111737298
2006-10-01,110.2333333,1914056.4,109.31,94.57,130.6,1.039137586,0.166666667,9.049788774,1.247543884,1.085012963,0.504202749,1.046485451,0.636270165
2007-01-01,110.8666667,1929084.4,110.35,95.12,137.2,0.94692504,0.166666667,4.930049845,0.572894737,0.782072653,9.049788774,1.247543884,1.085012963
2007-04-01,112.2666667,1938225.2,111.17,96.1,146.1,0.740342854,0.3,6.285160346,1.254871561,0.472722278,4.930049845,0.572894737,0.782072653
2007-07-01,110.4333333,1949743,112.55,96.79,141.8,1.233700611,0.1,-2.987370466,-1.646497366,0.592486003,6.285160346,1.254871561,0.472722278
2007-10-01,106.5,1957735.8,112.95,98.32,142.2,0.354767556,0.466666667,0.281690327,-3.626703519,0.409103238,-2.987370466,-1.646497366,0.592486003
2008-01-01,103.4333333,1969028.8,113.65,100.12,123,0.617830738,0.3,-14.5050162,-2.921770269,0.575182487,0.281690327,-3.626703519,0.409103238
2008-04-01,100.0333333,1961064.9,112.58,102.65,121.1,-0.945947026,0.433333333,-1.556770481,-3.342381902,-0.405278424,-14.5050162,-2.921770269,0.575182487
2008-07-01,93.53333333,1949040.1,110.24,104.78,105.5,-2.100427277,0,-13.79056976,-6.718558448,-0.615064706,-1.556770481,-3.342381902,-0.405278424
2008-10-01,80.03333333,1915716.6,102.55,101.81,77.8,-7.230932275,-0.2,-30.45695217,-15.58746644,-1.724523868,-13.79056976,-6.718558448,-0.615064706
2009-01-01,71.66666667,1861326.8,92.61,98.54,68.2,-10.19533573,0,-13.16968663,-11.0417475,-2.880218953,-30.45695217,-15.58746644,-1.724523868
2009-04-01,75.16666667,1856114.6,91.53,97.12,75.1,-1.173033979,0.233333333,9.637599392,4.768213081,-0.280418861,-13.16968663,-11.0417475,-2.880218953
2009-07-01,84.06666667,1863465.9,93.69,96.8,84.3,2.332467257,-0.133333333,11.55613062,11.19022646,0.395276272,9.637599392,4.768213081,-0.280418861
2009-10-01,91.76666667,1871816.5,94.94,97.08,91.3,1.325365316,0.2,7.976892259,8.763898861,0.447120888,11.55613062,11.19022646,0.395276272
2010-01-01,96.43333333,1879424.6,96.88,98.2,91.2,2.022798612,0.2,-0.109589052,4.960279976,0.405631642,7.976892259,8.763898861,0.447120888
2010-04-01,99.33333333,1896277.1,99.66,99.75,89.1,2.829129361,0.166666667,-2.32955626,2.962927452,0.892687678,-0.109589052,4.960279976,0.405631642
2010-07-01,102.4,1904144,100.61,100.58,88.4,0.948726345,0.033333333,-0.788736483,3.04055148,0.414002082,-2.32955626,2.962927452,0.892687678
2010-10-01,106.0333333,1914142.6,102.85,101.46,93.1,2.20199598,0.333333333,5.180221464,3.486679717,0.523723015,-0.788736483,3.04055148,0.414002082
2011-01-01,107.6333333,1928637.1,103.55,104.04,97.3,0.678297174,0.366666667,4.412480491,1.497687901,0.754379375,5.180221464,3.486679717,0.523723015
2011-04-01,105.8333333,1930007.7,103.36,105.69,95.9,-0.183654781,0.2,-1.44930073,-1.686485944,0.071040488,4.412480491,1.497687901,0.754379375
2011-07-01,99.23333333,1931382.3,103.74,106.29,80.6,0.366972889,0.1,-17.38073324,-6.439155003,0.071197163,-1.44930073,-1.686485944,0.071040488
2011-10-01,94.36666667,1927346.4,102.32,106.61,75.8,-1.378261165,0.266666667,-6.140035686,-5.028607583,-0.209182961,-17.38073324,-6.439155003,0.071197163
2012-01-01,94.96666667,1925433.2,101.72,108.01,83,-0.588121672,0.333333333,9.074231515,0.633804939,-0.099315318,-6.140035686,-5.028607583,-0.209182961
2012-04-01,92.33333333,1919400.4,101.09,108.39,76.4,-0.621273139,0.1,-8.285791162,-2.812073539,-0.313813578,9.074231515,0.633804939,-0.099315318
2012-07-01,87.4,1917017.7,101.15,108.99,81.4,0.059335445,0.2,6.339257684,-5.490993482,-0.12421484,-8.285791162,-2.812073539,-0.313813578
2012-10-01,86.76666667,1907414.4,99.16,109.15,85.9,-1.986985645,0.133333333,5.380855598,-0.727275929,-0.502208952,6.339257684,-5.490993482,-0.12421484
2013-01-01,90.1,1903113.5,99.47,109.25,91.3,0.3121384,0.2,6.096695861,3.769764124,-0.225737847,5.380855598,-0.727275929,-0.502208952
2013-04-01,89.8,1908146.5,100.42,108.25,92.5,0.950529944,0.033333333,1.305785692,-0.333518931,0.264112284,6.096695861,3.769764124,-0.225737847
